experiment_id,repetition,num_boids,num_preds,matching_factor,avoid_factor,centering_factor,seed,fish_eaten,fish_remaining
0,1,50,1,0.01,0.07,0.0005,62,41,9
0,2,50,1,0.01,0.07,0.0005,62,35,15
0,3,50,1,0.01,0.07,0.0005,62,36,14
0,4,50,1,0.01,0.07,0.0005,62,39,11
0,5,50,1,0.01,0.07,0.0005,62,42,8
0,6,50,1,0.01,0.07,0.0005,62,42,8
0,7,50,1,0.01,0.07,0.0005,62,38,12
0,8,50,1,0.01,0.07,0.0005,62,38,12
0,9,50,1,0.01,0.07,0.0005,62,39,11
0,10,50,1,0.01,0.07,0.0005,62,42,8
0,11,50,1,0.01,0.07,0.0005,62,40,10
0,12,50,1,0.01,0.07,0.0005,62,40,10
0,13,50,1,0.01,0.07,0.0005,62,41,9
0,14,50,1,0.01,0.07,0.0005,62,39,11
0,15,50,1,0.01,0.07,0.0005,62,41,9
0,16,50,1,0.01,0.07,0.0005,62,41,9
0,17,50,1,0.01,0.07,0.0005,62,38,12
0,18,50,1,0.01,0.07,0.0005,62,40,10
0,19,50,1,0.01,0.07,0.0005,62,39,11
0,20,50,1,0.01,0.07,0.0005,62,43,7
1,1,50,1,0.03,0.07,0.0005,62,36,14
1,2,50,1,0.03,0.07,0.0005,62,36,14
1,3,50,1,0.03,0.07,0.0005,62,36,14
1,4,50,1,0.03,0.07,0.0005,62,34,16
1,5,50,1,0.03,0.07,0.0005,62,36,14
1,6,50,1,0.03,0.07,0.0005,62,32,18
1,7,50,1,0.03,0.07,0.0005,62,40,10
1,8,50,1,0.03,0.07,0.0005,62,33,17
1,9,50,1,0.03,0.07,0.0005,62,36,14
1,10,50,1,0.03,0.07,0.0005,62,31,19
1,11,50,1,0.03,0.07,0.0005,62,36,14
1,12,50,1,0.03,0.07,0.0005,62,36,14
1,13,50,1,0.03,0.07,0.0005,62,34,16
1,14,50,1,0.03,0.07,0.0005,62,35,15
1,15,50,1,0.03,0.07,0.0005,62,39,11
1,16,50,1,0.03,0.07,0.0005,62,35,15
1,17,50,1,0.03,0.07,0.0005,62,33,17
1,18,50,1,0.03,0.07,0.0005,62,30,20
1,19,50,1,0.03,0.07,0.0005,62,33,17
1,20,50,1,0.03,0.07,0.0005,62,37,13
2,1,50,1,0.05,0.07,0.0005,62,33,17
2,2,50,1,0.05,0.07,0.0005,62,35,15
2,3,50,1,0.05,0.07,0.0005,62,37,13
2,4,50,1,0.05,0.07,0.0005,62,34,16
2,5,50,1,0.05,0.07,0.0005,62,35,15
2,6,50,1,0.05,0.07,0.0005,62,30,20
2,7,50,1,0.05,0.07,0.0005,62,34,16
2,8,50,1,0.05,0.07,0.0005,62,32,18
2,9,50,1,0.05,0.07,0.0005,62,37,13
2,10,50,1,0.05,0.07,0.0005,62,34,16
2,11,50,1,0.05,0.07,0.0005,62,35,15
2,12,50,1,0.05,0.07,0.0005,62,32,18
2,13,50,1,0.05,0.07,0.0005,62,32,18
2,14,50,1,0.05,0.07,0.0005,62,36,14
2,15,50,1,0.05,0.07,0.0005,62,36,14
2,16,50,1,0.05,0.07,0.0005,62,34,16
2,17,50,1,0.05,0.07,0.0005,62,34,16
2,18,50,1,0.05,0.07,0.0005,62,32,18
2,19,50,1,0.05,0.07,0.0005,62,32,18
2,20,50,1,0.05,0.07,0.0005,62,30,20
3,1,50,1,0.1,0.07,0.0005,62,32,18
3,2,50,1,0.1,0.07,0.0005,62,31,19
3,3,50,1,0.1,0.07,0.0005,62,33,17
3,4,50,1,0.1,0.07,0.0005,62,34,16
3,5,50,1,0.1,0.07,0.0005,62,31,19
3,6,50,1,0.1,0.07,0.0005,62,31,19
3,7,50,1,0.1,0.07,0.0005,62,31,19
3,8,50,1,0.1,0.07,0.0005,62,34,16
3,9,50,1,0.1,0.07,0.0005,62,36,14
3,10,50,1,0.1,0.07,0.0005,62,32,18
3,11,50,1,0.1,0.07,0.0005,62,28,22
3,12,50,1,0.1,0.07,0.0005,62,35,15
3,13,50,1,0.1,0.07,0.0005,62,27,23
3,14,50,1,0.1,0.07,0.0005,62,33,17
3,15,50,1,0.1,0.07,0.0005,62,28,22
3,16,50,1,0.1,0.07,0.0005,62,34,16
3,17,50,1,0.1,0.07,0.0005,62,30,20
3,18,50,1,0.1,0.07,0.0005,62,28,22
3,19,50,1,0.1,0.07,0.0005,62,36,14
3,20,50,1,0.1,0.07,0.0005,62,30,20
4,1,50,1,0.2,0.07,0.0005,62,30,20
4,2,50,1,0.2,0.07,0.0005,62,31,19
4,3,50,1,0.2,0.07,0.0005,62,33,17
4,4,50,1,0.2,0.07,0.0005,62,33,17
4,5,50,1,0.2,0.07,0.0005,62,32,18
4,6,50,1,0.2,0.07,0.0005,62,28,22
4,7,50,1,0.2,0.07,0.0005,62,29,21
4,8,50,1,0.2,0.07,0.0005,62,32,18
4,9,50,1,0.2,0.07,0.0005,62,29,21
4,10,50,1,0.2,0.07,0.0005,62,34,16
