experiment_id,repetition,num_boids,num_preds,maxspeed_pred,minspeed_pred,turn_factor_pred,seed,fish_eaten,fish_remaining
0,1,50,1,0.30000000000000004,0.6000000000000001,0.020000000000000004,0/5062PRCS6Y/0/54321,5,45
0,2,50,1,0.30000000000000004,0.6000000000000001,0.020000000000000004,0/5062PRCS6Y/0/54321,3,47
1,1,50,1,1.5999999999999999,1.8666666666666667,0.10666666666666667,12345/5062PRCS6Y/0/54321,7,43
1,2,50,1,1.5999999999999999,1.8666666666666667,0.10666666666666667,12345/5062PRCS6Y/0/54321,8,42
2,1,50,1,2.8999999999999995,3.1333333333333333,0.19333333333333336,24690/5062PRCS6Y/0/54321,9,41
2,2,50,1,2.8999999999999995,3.1333333333333333,0.19333333333333336,24690/5062PRCS6Y/0/54321,9,41
3,1,50,1,4.199999999999999,4.4,0.28,37035/5062PRCS6Y/0/54321,23,27
3,2,50,1,4.199999999999999,4.4,0.28,37035/5062PRCS6Y/0/54321,23,27
4,1,50,1,5.499999999999999,5.666666666666666,0.3666666666666667,49380/5062PRCS6Y/0/54321,32,18
4,2,50,1,5.499999999999999,5.666666666666666,0.3666666666666667,49380/5062PRCS6Y/0/54321,28,22
5,1,50,1,6.799999999999999,6.933333333333334,0.45333333333333337,61725/5062PRCS6Y/0/54321,36,14
5,2,50,1,6.799999999999999,6.933333333333334,0.45333333333333337,61725/5062PRCS6Y/0/54321,36,14
6,1,50,1,8.1,8.2,0.54,74070/5062PRCS6Y/0/54321,35,15
6,2,50,1,8.1,8.2,0.54,74070/5062PRCS6Y/0/54321,38,12
7,1,50,1,9.399999999999999,9.466666666666667,0.6266666666666667,86415/5062PRCS6Y/0/54321,42,8
7,2,50,1,9.399999999999999,9.466666666666667,0.6266666666666667,86415/5062PRCS6Y/0/54321,39,11
8,1,50,1,10.7,10.733333333333333,0.7133333333333334,98760/5062PRCS6Y/0/54321,36,14
8,2,50,1,10.7,10.733333333333333,0.7133333333333334,98760/5062PRCS6Y/0/54321,39,11
9,1,50,1,12.0,12.0,0.8,111105/5062PRCS6Y/0/54321,43,7
9,2,50,1,12.0,12.0,0.8,111105/5062PRCS6Y/0/54321,42,8
